,date,title,summary
83,25 June 2018,The Global Financial and Monetary System in 2030,The Global Future Council on Financial and Monetary Systems published this report singling out three key aspects of the risks and challenges associated with the two seemingly opposed forc...
84,22 June 2018,Antimicrobial Resistance: Tackling the Gap in R&D Resources with Pull Incentives -  in collaboration with Wellcome Trust,Not enough new antibiotics are in development to guarantee that we can continue to treat infections. Current market conditions will not incentivise the investment necessary to restock the...
85,5 June 2018,Future Scenarios and Implications for the Industry,"Incremental change is not an option any more in the construction industry. By redefining the ultimate frontier, leapfrogging innovations in construction will finally help address major so..."
86,15 March 2018,The Brazil Competitiveness and Inclusive Growth Lab Report,The Brazil Competitiveness and Inclusive Growth Lab report is the product of a multi-stakeholder effort chart a course for improving Brazil’s competitiveness and boosting productivity. Th...
87,14 March 2018,Fostering Effective Energy Transition 2018,"The first edition of the Fostering Effective Energy Transition report, prepared with analytical support from McKinsey &amp; Company, is part of the World Economic Forum System Initiative ..."
88,5 March 2018,Operating Models for the Future of Consumption,This report highlights how increasingly empowered consumers and rapidly emerging technologies are bringing dramatic and accelerating change to the fundamental structure of business and op...
89,5 March 2018,Future of Consumption in Fast-Growth Consumer Markets: China,This report argues that China will have the world’s largest middle class fueled by income-growth in the next 10 years.
90,13 February 2018,Electric Vehicles for Smarter Cities: The Future of Energy and Mobility,"This report examines the major trends affecting the transformation of energy and mobility systems, with a special focus on cities. Topics addressed include: electrification, decentralizat..."
91,12 February 2018,Value in Healthcare: Mobilizing cooperation for health system transformation,The “Value in Healthcare - Mobilizing cooperation for health system transformation” highlights three drivers of health system transformation: 
92,7 February 2018,World Economic Forum Annual Meeting 2018: Creating a Shared Future in a Fractured World,"More than 3,000 leaders from over 100 countries came together to focus on finding ways to reaffirm international cooperation on crucial shared interests, such as the environment, the glob..."
93,2 February 2018,World Economic Forum Annual Meeting 2018: Forum Foundations Report,"This year in Davos, at the World Economic Forum's 48th Annual Meeting, we gathered some of the world's youth and social entrepreneurs who are committed to improving the state of the world..."
94,23 January 2018,Harnessing the Fourth Industrial Revolution for Life on Land,The stress on the earth’s natural systems caused by human activity has considerably worsened in the 25 years since the 1992 Rio Earth Summit in Brazil. 
95,23 January 2018,Innovation with a Purpose: The role of technology innovation in accelerating food systems transformation,What if we could harness the power of technology innovation to help transform global food systems?
96,23 January 2018,The Known Traveller: Unlocking the potential of digital identity for secure and seamless travel,Is a Known Traveller Digital Identity the disruptive innovation the global travel security ecosystem needs? The cross-border movement of legitimate travellers has for decades enabled and ...
97,22 January 2018,Towards a Reskilling Revolution,"As the types of skills needed in the labour market change rapidly, individual workers will have to engage in life-long learning if they are to achieve fulfilling and rewarding careers. Fo..."
98,22 January 2018,The Inclusive Development Index 2018,The Inclusive Development Index (IDI) is an annual assessment of 103 countries’ economic performance that measures how countries perform on eleven dimensions of economic progress in addit...
99,19 January 2018,Renew Europe ,"Based on the values and hopes of Europe’s next generation, this report provides a starting point to develop a vision and practical ideas to move forward in addressing potentially destabil..."
100,17 January 2018,The Global Risks Report 2018,"As the pace of change accelerates, and as risk interconnections deepen, this year’s report highlights the growing strain we are placing on many of the global systems we rely on."
101,12 January 2018,Cyber Resilience: Playbook for Public- Private Collaboration,Cyber Resilience: Playbook for Public-Private Collaboration helps leaders develop a baseline understanding of the key issues and policy positions relating to cybersecurity and resilience....
102,12 January 2018,Readiness for the Future of Production Report 2018,"As the Fourth Industrial Revolution gathers momentum, decision-makers from the public and private sectors are confronted with a new set of uncertainties regarding the future of production..."
103,19 December 2017,Recycling our Infrastructure for Future Generations,"""Recycling our Infrastructure for Future Generations"" takes a closer look at an emerging approach to financing new infrastructure, which is known as “Asset Recycling”. "
104,2 November 2017,The Global Gender Gap Report 2017,The Global Gender Gap Report benchmarks 144 countries on their progress towards gender parity across four thematic dimensions
105,25 October 2017,Migration and Its Impact on Cities,"The World Economic Forum has released a report taking a deep dive on migration and cities, exploring the types, causes and patterns of migration, the most affected corridors and cities, t..."
106,26 September 2017,The Global Competitiveness Report 2017–2018,"Ten years on from the global financial crisis, the prospects for a sustained economic recovery remain at risk due to a widespread failure on the part of leaders and policy-makers to put i..."
107,13 September 2017,The Global Human Capital Report 2017,The report measures 130 countries against four key areas of human capital development.
108,22 August 2017,Beyond Fintech: A Pragmatic Assessment Of Disruptive Potential In Financial Services,"For years Fintech has been the hottest topic of discussion in financial services, with incumbents, regulators, and consumers all asking the same question: “Will small technology-enabled ‘..."
109,17 May 2017,The Future of Jobs and Skills in the Middle East and North Africa: Preparing the Region for the Fourth Industrial Revolution,The Future of Jobs and Skills in the Middle East and North Africa: Preparing the Region for the Fourth Industrial Revolution
110,4 May 2017,Africa Competitiveness Report 2017,"The Africa Competitiveness Report was first published in 1998 and has, since 2007, been a biennial project highlighting areas that require policy action and investment to ensure Africa’s ..."
111,3 May 2017,The Future of Jobs and Skills in Africa: Preparing the Region for the Fourth Industrial Revolution,"With more than 60% of its population under the age of 25, sub-Saharan Africa is already the world’s youngest region today – and, by 2030, will be home to more than one-quarter of the worl..."
112,2 May 2017,Beyond Organizational Scale: How Social Entrepreneurs Create Systems Change,"For a sector that has long been obsessed with the holy grail of organizational scale, the social entrepreneurship sector is now coming to terms with the limits of organizational growth. T..."
113,27 April 2017,Value in Healthcare: Laying the Foundation for Health System Transformation,"The World Bank estimates global population sizes of approximately 8.5 billion by 2030 and 9.2 billion by 2040. As recently as 2014, the United States and United Kingdom spent approximatel..."
114,5 April 2017,The Travel & Tourism Competitiveness Report 2017,"The Travel and Tourism Competitiveness Index measures “the set of factors and policies that enable the sustainable development of the travel and tourism sector, which in turn, contributes..."
115,22 March 2017,Global Energy Architecture Performance Index Report 2017,"· The Global Energy Architecture Performance Index Report 2017 ranks 127 countries on their ability to deliver secure, affordable, sustainable energy"
116,10 March 2017,The Future of Electricity: New Technologies Transforming the Grid Edge,"The electricity landscape is a prime example of the Fourth Industrial Revolution as it undergoes a transformation, becoming more complex than ever before with rapidly evolving technologie..."
117,1 March 2017,Shaping the Future of Construction: Inspiring innovators redefine the industry,"3D-printed houses, automatically designed hospitals, prefabricated skyscrapers — once futuristic dreams are now a reality as described in the new report Shaping the Future of Construction"
118,14 February 2017,The Future of Humanitarian Response 2017,"In 2015, the World Economic Forum began working with leaders from across sectors to develop a coherent conversation around humanitarian issues. Since then, the Forum has brought together ..."
119,27 January 2017,World Economic Forum Annual Meeting 2017: Responsive and Responsible Leadership,"Convening under the theme Responsive and Responsible Leadership, leaders participating in the World Economic Forum Annual Meeting 2017 focused on five critical challenges – strengthening ..."
120,16 January 2017,The New Plastics Economy: Catalysing action,"This report provides a plan for the global plastics industry to take action across all types of plastic packaging, to design better packaging and increase recycling rates."
121,16 January 2017,The Inclusive Growth and Development Report 2017,Going beyond GDP: The Inclusive Growth and Development Growth Report 2017. Read more
122,15 January 2017,Shaping the Future of Retail for Consumer Industries ,This report highlights the game-changing technologies which will fundamentally change how retail and consumer brands do business over the next decade and shape new frontiers for physical ...
123,11 January 2017,The Global Risks Report 2017,The Global Risks Report 2017 completes more than a decade of highlighting the most significant long-term risks worldwide
124,30 November 2016,The Global Enabling Trade Report 2016,"At a time of uncertainty, which aspects of trade policy and practice are working well? Our new report"
125,21 November 2016,Global Energy Architecture Performance Index 2017,"The Global Energy Architecture Performance index, prepared in collaboration with Accenture, is part of the World Economic Forum’s System initiative on Shaping the Future of Energy. The in..."
126,26 October 2016,The Global Gender Gap Report 2016,"Through the Global Gender Gap Report, the World Economic Forum quantifies the magnitude of gender disparities and tracks their progress over time, with a specific focus on the relative ga..."
127,28 September 2016,The Global Competitiveness Report 2016–2017,"The Global Competitiveness Report 2016-2017 assesses the competitiveness landscape of 138 economies, providing insight into the drivers of their productivity and prosperity."
128,7 September 2016,Annual Report 2015-2016,"""Our world is an interconnected system straining under the burden of its own complexity. The Fourth Industrial Revolution and other factors are combining to make the global environment mo..."
129,18 August 2016,Alternative Investments 2020: The Future of Capital for Entrepreneurs and SMEs,The objective of this report is to highlight new alternative sources of capital and examine their potential for broader industry disruption in the future.
130,12 August 2016,Disruptive innovation in financial services: A blueprint for digital,"The report, Disruptive innovation in financial services: A blueprint for digital identity, calls on financial institutions to lead the charge in developing robust digital identity solutio..."
131,12 August 2016,The future of financial infrastructure: An ambitious look at how blockchain can reshape financial services,The report builds upon the findings from Deloitte/World Economic Forum report Disruptive Innovation in Financial Services and looks at the impact of implementing distributed ledger techno...
132,28 July 2016,Risk-Mitigation Instruments in Infrastructure: Gap Assessment,"The report shows that current instruments are too complex, lack adequate standardization and are too costly for the private sector to use. The report identifies four key areas of action –..."
133,6 July 2016,The Global Information Technology Report 2016,The World Economic Forum’s Global Information Technology Report 2016 finds seven countries are excelling when it comes to economically benefiting from investments in information and commu...
134,5 July 2016,Meeting report: Annual Meeting of the New Champions 2016,"The 10th Annual Meeting of the New Champions convened more than 2,000 leaders from over 90 countries. "
135,1 July 2016,Global Information Technology Report 2016,"The Global Information Technology Report 2016 features the latest iteration of the Networked Readiness Index, which assesses the factors, policies and institutions that enable a country t..."
136,28 June 2016,The Human Capital Report 2016,"The Human Capital Index seeks to serve as a tool for capturing the complexity of education, employment and workforce dynamics so that various stakeholders are able to make better-informed..."
137,26 June 2016,Eyeglasses for Global  Development: Bridging  the Visual Divide," With 50% of the global population (and 65% of East Asia’s) expected to be short-sighted by 2050, this new report signals a first step by EYElliance, a new multistakeholder coalition, to ..."
138,23 June 2016,Top 10 Emerging Technologies of 2016,"The Top 10 Emerging Technologies 2016 list, compiled by the Forum’s Meta-Council on Emerging Technologies and published in collaboration with Scientific American, highlights technological..."
139,17 June 2016,Closing the Economic Gender Gap: Learning from the Gender Parity Task Forces ,In the 10 years since the World Economic Forum began measuring the economic gender gap it has narrowed by only 3% globally. In addition to the individual actions of employers and governme...
140,17 June 2016,Enabling Trade: Unlocking the Potential of Mexico and Vietnam,The primary objective of the World Economic Forum’s Enabling Trade initiative is to ensure growth in trade and momentum for the global implementation of the 2013 Bali Trade Facilitation A...
141,16 June 2016,Shaping the ASEAN Agenda for Inclusion and Growth,The World Economic Forum is grateful to its Members and communities for their commitment and dynamic participation in the World Economic Forum on ASEAN. We look forward to welcoming you t...
142,1 June 2016,Human Capital Outlook: Association of Southeast Asian Nations (ASEAN),"The Fourth Industrial Revolution will disrupt business models and bring both challenges and opportunities to labour markets over the next five years, with enormous change predicted in the..."
143,15 May 2016,World Economic Forum on Africa: Connecting Africa’s Resources through Digital Transformation,"Under the theme 'Connecting Africa’s Resources through Digital Transformation', the 26th World Economic Forum on Africa convened regional and global leaders to discuss digital economy cat..."
144,12 May 2016,Internet for All: A Framework for Accelerating Internet Access and Adoption,"The internet has been a major contributor to the evolution of and growth in the global economy over the past decades. It continues to have the potential to propel societies, help business..."
145,12 May 2016,An Action Agenda for Africa’s Competitiveness,"The Action Agenda for Africa’s Competitiveness synthesizes over 120 recommendations from over 200 participants from government, business, academia, international organizations and civil s..."
146,11 May 2016,Health Systems Leapfrogging in Emerging Economies,"This report focuses on catalysing change through an “ecosystem approach” to partnerships. To effectively implement health innovations, we need closer and more efficient cooperation betwee..."
147,4 May 2016,Shaping the Future of Construction: A Breakthrough in Mindset and Technology,"Thirty measures are presented in the report, Shaping the Future of Construction: A Breakthrough in Mindset and Technology as part of a construction “industry transformation framework”. Th..."
148,28 April 2016,Mastering Hypergrowth,"The Fourth Industrial Revolution is creating enterprise opportunities at a staggering rate. How are global firms mastering hypergrowth in the new normal?
"
149,19 April 2016,The Role of Financial Services in Society: Understanding the impact of technology-enabled innovation on financial stability,"This paper, “Understanding the impact of technology-enabled innovation on financial stability”, articulates key findings from a series of interviews and roundtables held with leaders from..."
150,8 April 2016,Reforms to Accelerate the Development of India’s Smart Cities: Shaping the Future of Urban Development & Services,"The report highlights the reforms required at state and local levels to implement smart cities in India. It recommends institutional, business-environment and sector-specific reforms to e..."
151,6 April 2016,Inspiring Future Cities & Urban Services: Shaping the Future of Urban Development & Services Initiative,"The World Economic Forum has released a new report, Inspiring Future Cities &amp; Urban Services"
152,5 April 2016,Understanding the Commercial Real Estate Investment Ecosystem: An Early Warning System Prototype,The World Economic Forum’s Shaping the Future of Real Estate initiative defines real estate asset ecosystems and how real estate bubbles could be limited through innovative solutions.
153,22 March 2016,Infrastructure & Urban Development: Building Foundations for Transparency,The Building Foundations for Transparency project comes at a critical time when governments are making concrete steps to tackle corruption in public processes including public procurement...
154,10 March 2016,New Vision for Education: Fostering Social and Emotional Learning Through Technology,"The New Vision for Education project examines the role that technology can potentially play to improve education for the future. In phase II, we investigated innovative ways to help stude..."
155,2 March 2016,Global Energy Architecture Performance Index Report 2016,"The Global Energy Architecture Performance Index Report 2016 ranks 126 countries on their ability to deliver secure, affordable and sustainable energy."
156,25 February 2016,Social Innovation: A Guide to Achieving Corporate and Societal Value,"As a central effort in the Global Challenge Initiative on Economic Growth and Social Inclusion, this is a “how to guide” for companies to create social and business value. Drawn from a se..."
