,date,title,summary
32,Artificial Intelligence and Robotics,"
              Fourth Industrial Revolution
            ","
              Explore the latest strategic trends, research and analysis
            "
33,Minwoo Park and Hyonhee Shin · Reuters 21 Feb 2020,How is automation perceived by the public?,"IMF research looks at how 11,000 workers across 11 advanced and emerging market economies perceive the main forces shaping the future of work"
34,Fourth Industrial Revolution,This is what's wrong with Human Resources - and how to change it,"A company's Human Resources department is usually based on an outdated view of what makes a good employee. As we place more value on disruption and innovation, this has to change."
35,Futurity 20 Feb 2020,New ‘stretchy electronics’ could redefine wearable tech,A 'peel and stack' method of making electronics could allow chips to be worn on the skin. 
36,Fourth Industrial Revolution,A new type of electrode will be able to amplify the power of batteries,A new lithium metal anode could increase the longevity and energy density of batteries. 
37,The Conversation 20 Feb 2020,How bionic jellyfish are boosting underwater research,"Engineers at Caltech and Stanford University have developed a tiny, non-invasive prosthetic that helps jellyfish to swim faster and more efficiently."
38,5G,This is the world’s fastest camera - and the pictures are mesmerizing,It's capable of taking 10 trillion pictures per second and is fast enough to capture light traveling in slow motion.
39,Andrew S. Weinberg 18 Feb 2020,Here's how to help those countries being left behind by the 4IR,Most of the world's emerging economies are lagging far behind when it comes to adopting 4IR technologies. Here's why that is - and what the rest of the world can do to help.
40,Artificial Intelligence and Robotics,Six ways to cut through the Middle East’s geopolitical fog,"These six transformations in technology, climate and economic and social systems could help Middle Eastern countries unite to create jobs and prosperity."
41,Bowen Zhou 17 Feb 2020,These 10 tips for tech regulators will drive innovation,Technology is changing the way we live and work; the way we govern needs to change too.
42,Fourth Industrial Revolution,This AI tool helps identifies breast cancer with 90% accuracy rate,An artificial intelligence tool—trained on roughly a million screening mammography images—can identify breast cancer with approximately 90% accuracy when combined with radiologist analysi...
43,Blake Richards · The Conversation 17 Feb 2020,Using artificial intelligence to enrich digital maps,"The model uses artificial intelligence to tag road features based on satellite images, to improve GPS navigation in places with limited map data."
44,Fourth Industrial Revolution,Cyber-Risk Assessments: the vaccine for companies in the Fourth Industrial Revolution,Cyber-attacks are one of the biggest risks to business. This is how companies and investors should protect themselves.
45,University of Washington  · Futurity 17 Feb 2020,6 expert essays on the future of biotech,How will biotechnology transform our approach to human health? Scientists from the World Economic Forum's Global Future Council share key insights.
46,Fourth Industrial Revolution,Why 2020 is a turning point for cybersecurity,How leaders can adapt and adopt the right strategies to ensure optimal cybersecurity and digital trust.
47,Reuters Staff  · Reuters 14 Feb 2020,"'The US should be proud of Huawei,' hackable humans and other top quotes from a Davos tech session",Huawei CEO Ren Zhengfei and historian Yuval Noah Harari in conversation in Davos
48,Fourth Industrial Revolution,"
              Fourth Industrial Revolution
            ","
              Explore the latest strategic trends, research and analysis
            "
49,Sean Fleming 13 Feb 2020,5 ways business leaders can prepare for the future of cybersecurity,"With technology such as artificial intelligence and quantum computing developing rapidly, businesses must be prepared to deal with attacks from online hackers."
50,SDG 03: Good Health and Well-Being,This is how precision consumption can improve the health of millions ,"Zara Ingilizian, Head of Future of Consumption at the World Economic Forum explains how harnessing precision technologies will improve the well-being of millions."
51,Todd Bates-Rutgers · Futurity 13 Feb 2020,How Japan can lead the world in a new era of stakeholder capitalism,"Stakeholder capitalism is commonplace in Japan's economy. For hundreds of years, companies have worked to satisfy customers and society as a whole.."
52,3D Printing,2030: from technology optimism to technology realism,"Harnessing technology is no silver bullet, but the Fourth Industrial Revolution could be fundamental to achieving the SDGs. It’s time for us to back the promise of technology."
53,Todd Bates-Rutgers · Futurity 13 Feb 2020,Four ways governments can leverage 4IR to achieve the SDGs,Digital technologies can drive inclusive and sustainable growth in low and middle-income countries to achieve the Sustainable Development Goals.
54,Brazil,The company of the future must do well by doing good,"Contributing to a better world and making money are not in conflict with each other, writes the CEO of Royal DSM."
55,João Doria 13 Feb 2020,Here’s how businesses are balancing profit and purpose,Business leaders are considering the value that their organizations can bring to a wider variety of stakeholders.
56,Fourth Industrial Revolution,How to restore trust in data,Enhancing trust in data requires rethinking consent.
57,Nita Bhalla · Thomson Reuters Foundation trust.org 12 Feb 2020,"From medicine to milk, this is Russia's plan to make every good traceable",6 billion codes are already tracked in Russia's ambitious digital scheme which aims to tackle the shadow economy.
58,Fourth Industrial Revolution,Davos 2020: Here's what you need to know about tech for good,"As we mark the 50th anniversary of the Annual Meeting in Davos, we’re entering a new era of tech innovation. Disruptive technologies like blockchain, autonomous vehicles and gene editing,..."
59,Kristin  Houser  · Futurism 11 Feb 2020,9 reasons to be optimistic about tech in 2020,2020 is the year that some of the most-hyped technologies of the Fourth Industrial Revolution will reach full maturity and begin to deliver on their promise.
60,Fourth Industrial Revolution,Hundreds of millions of workers need reskilling. Where do we start?,The workplace faces unprecedented upheaval - so reskilling should begin early and continue as long as possible.
61,"Vizhdan  Boranova, Richard  Varghese, and Carlos  Mulas-Granados · IMF Blog 11 Feb 2020",How universities must adapt to train future leaders,Universities must embrace action-based learning focused on solving real-life problems.
62,Workforce and Employment,How manufacturing can thrive in a digital world and lead a sustainable revolution,Factories around the world are embracing tech that improves efficiency and puts people first.
63,Adriana Stan and Tom  Goodwin  10 Feb 2020,8 tips to lead the next generation,Young people are demanding that concrete action to change the world. Here's how leaders can adapt to work with the next generations.
64,Fourth Industrial Revolution,"
              Fourth Industrial Revolution
            ","
              Explore the latest strategic trends, research and analysis
            "
65,Jennifer Chu · MIT News 10 Feb 2020,It's time to forget what you know about your job - but that's not a bad thing,"For both employers and employees, understanding how to jettison past methods can be as important as learning new skills."
66,Fourth Industrial Revolution,B-I-R-D: 4 digital technologies that can help supply chains take flight,The number of potentially disruptive digital technologies in the logistics sector - so where should businesses focus their attention? Here are four that everyone should be testing
67,David L. Chandler · MIT News 10 Feb 2020,What is Davos? Myths and facts about the World Economic Forum's Alpine summit ,"As leaders, academics and campaigners head to Davos for World Economic Forum's Annual Meeting, how do the myths about the summit measure up to reality?"
68,Fourth Industrial Revolution,"It's time to redefine how data is governed, controlled and shared. Here's how",The next chapter of the Fourth Industrial Revolution offers companies and governments the chance to improve how data is managed.
69,Robert Perkins · Caltech 07 Feb 2020,How can technology help India? An extract,Read an extract from Natarajan Chandrasekaran and Roopa Purushothaman's Bridgital Nation: Solving Technology's People Problem.
70,Fourth Industrial Revolution,"Bend, don't break: how to thrive in the Fourth Industrial Revolution","The Fourth Industrial Revolution is ripping up the business rulebook. Some will flounder, others will thrive; the difference lies in how flexible and agile companies are prepared to be."
71,Emily  Velasco · Caltech 07 Feb 2020,5G is about to change the world in ways we can't even imagine yet,"While 3G put the mobile Internet in your hand and 4G gave us mobile broadband, redefining how we interact – 5G will connect everything and everyone"
72,Fourth Industrial Revolution,The Nordics are a model for all the world,"From open markets with competitive companies to effective government and an expansive welfare state, Nordic countries set an example for all the world, writes Børge Brende."
73,United Nations Industrial Development Organization   · UNIDO 05 Feb 2020,How can AI make machines run faster?,"A new innovation may aid programmers writing computer code as with a new tool created by MIT researchers, they can now test code reading time on any chip."
74,Middle East and North Africa,How 5G and the Internet of Things can create a winning business,New technologies will impact every market and every industry in a way that many of us have not yet begun to consider. Here is how to make the most of it.
75,"Mirek Dušek,  Rania  Al-Mashat, and Alain Bejjani 31 Jan 2020",How businesses can create an ethical culture in the age of tech,Tech poses ethical problems for companies - here's how executives can instill a responsible working culture.
76,Agile Governance,This is the change we need for the future of innovation,Innovation means closing the gap between theory and practice to unleash the power of tech for good.
77,Lisa Witter and Jaee Samant 31 Jan 2020,"As technology advances, here's how to make sure no one is left behind",Technology can detect eye problems in babies or summon a cab in seconds - but what happens to those who lack connectivity or digital skills?
78,Fourth Industrial Revolution,When machine learning packs an economic punch,"A new study shows that improved translation software boosted eBay's international trade — a notable case of machine learning having an impact on economic activity.
"
79,Greg Williams · Futurity 30 Jan 2020,Will 2020 be the year blockchain overcomes its hype?,"In 2019, blockchain went from a buzzword to a business. Here's what's in store for 2020."
80,Fourth Industrial Revolution,"
              Fourth Industrial Revolution
            ","
              Explore the latest strategic trends, research and analysis
            "
81,Rob Matheson · MIT News 30 Jan 2020,Your car might be at risk from cyberattacks,"With vehicles connecting to Wi-Fi networks, criminals can hack into both smartphones and cars, exposing personal data and opening up transport to potentially fatal crimes."
82,Cybersecurity,Why we need to redefine trust for the Fourth Industrial Revolution,"Trust – in our leaders, institutions and systems - is in decline. How can we restore it to meet the demands of the Fourth Industrial Revolution?"
83,Algirde Pipikaite and Joram Borenstein 27 Jan 2020,In 2020 Asia will have the world's largest GDP. Here's what that means,"By 2030, Asia will contribute roughly 60% of global growth with the bulk of that coming from China, India and developing markets throughout South-East Asia.
"
84,Biotechnology,The 4 biggest challenges to our higher education model – and what to do about them,"While most debates around the future of education focus on the skills needed for the future and the imperative of reskilling imperative, higher education may face an inevitable structural..."
85, 23 Jan 2020,The 4 things business leaders can do to build a sustainable workforce,"How can businesses make sure their employees have the skills to take advantage of artificial intelligence (AI), automation and machine learning at work?"
86,Cybersecurity,This is how venture capital can fuel a brighter future,"By investing in AI, cloud computing, robotics and more, venture capital could reshape major global industries to help offset and possibly reverse the excesses of capitalism."
87,"Alois Zwinggi, Marco Pineda, Daniel Dobrygowski, and Rebekah Lewis 23 Jan 2020",The future of work requires a return to apprenticeships,"With apprenticeship programs, government and the private sector can partner to train and reskill workers – and meet the challenges of 4IR."
88,Fourth Industrial Revolution,Over half of the world's jobs are replaceable by a robot - is yours?,"The challenge that all new technologies pose is not that they create too few jobs, but rather that too few workers have the skills to fill them."
89,Ceri Parker 21 Jan 2020,This infographic charts the decline of manufacturing worldwide,"According to new data from the World Bank and the United Nations, manufacturing as a proportion of global GDP has been in decline since the 1980s."
90,Cybersecurity,This AI can diagnose diseases faster and more accurately than ever before,"Data from Tencent shows that recognition accuracy reaches 90% for esophageal cancer, 97% for diabetic retinopathy, and 97.2% for colorectal cancer."
91,Stefan  Deutscher and Daniel Dobrygowski · Forbes 21 Jan 2020,Blockchain is becoming key for global trade - but is that a gift for hackers?,"One of the most hailed innovations of the Fourth Industrial Revolution, blockchain promises to revolutionize business transactions, yet its security must be guaranteed first before it can..."
92,Future of Consumption,Why our future relies on more inclusive and transparent innovation,"Innovative solutions to global problems don't scale fast enough because of low awareness, high initial product costs and obstructive regulatory parameters."
93,Zara Ingilizian · Forbes 21 Jan 2020,India Automated - an extract,"Read an extract from Pranjal Sharma's new book, India Automated."
94,Japan,Here's how tech can help governments fight corruption,Technology is giving governments new tools to be transparent and tackle corruption.
95,Makiko Eda · x 20 Jan 2020,Can smart cities help their residents without hurting their privacy?,"From street sensors that reduce collisions and congestion, to heated pavements that melt snow - data is driving urban improvements. But citizens need a meaningful role in evaluating data ..."
96,Fourth Industrial Revolution,"
              Fourth Industrial Revolution
            ","
              Explore the latest strategic trends, research and analysis
            "
97,"Celine Herweijer, Antonia Gawel, and Anne Marie Engtoft Larsen  20 Jan 2020",What you need to know about 5G,5G is more than just an upgrade for faster data networks. 5G is a major change in how the world is connected. 
98,SDG 17: Partnerships for the Goals,Robots might soon be able to demonstrate creativity,Artificial intelligence could become so advanced it would vastly surpasses humanity’s artistic abilities. 
99,Sara Pantuliano 20 Jan 2020,Helping robots grasp the basic laws of physics could make them more sophisticated,Research scientists want to capture knowledge to build infant cognition into artificial-intelligence agents.
100,Fourth Industrial Revolution,Why agility is key to success in the Fourth Industrial Revolution - a book extract,Read a book extract from Leo Tilman and General Charles Jacoby's book Agility.
101,Feike Sijbesma 20 Jan 2020,This metal-based material could revolutionise soft robots,"Researchers combined metals such as platinum, with ash. This has improved functionality while maintaining foldability and remaining lightweight,"
102,Fourth Industrial Revolution,Demographics and technology explain secular stagnation and more,"The interactions of demographic and technological changes, highlighted by transmission mechanisms, have new implications for growth and inequalities that must be tackled by policymakers a..."
103,Punit Renjen 20 Jan 2020,These US states are most at risk of losing jobs to automation,Some studies predict that 50% of all workers are at risk of losing their jobs to automation in the coming decades. But some parts of the United States are adopting robot use quicker than ...
104,Cybersecurity,This A.I. can predict how certain drug combos will best treat diseases,"Tuberculosis kills 1.8 million people each year, and has 28 drugs used to treat it. When combined, there are over 24,000 three to four drug combinations."
105,Chizuru Suga 19 Jan 2020,Davos 1973 to Davos 2020: How the world economy has changed,The world economy has gone through a huge transformation in the 50 years since the first Davos. Here's a look at the key trends.
106,Supply Chain and Transport,"The Fourth Industrial Revolution redefines the economy, no more 'shareholders first' and other top stories of the week",Also in this week's stories: why the world needs a grand coalition to tackle climate change and the 5 ways to swim as part of a 'liquid workforce'.
107,Ivan Streshinsky 19 Jan 2020,"This new nanocube camera could improve surgeries, food inspections and farming",Researchers have demonstrated photodetectors that could span an unprecedented range of light frequencies.
108,Fourth Industrial Revolution,Your next package could soon be delivered to you by an electric van,"A 10,000 strong fleet, operating in Amsterdam, Vienna and cities around Germany - saving roughly 36,000 metric tons of CO2 per truck each year."
109,Greta Keenan 17 Jan 2020,How is the Fourth Industrial Revolution changing our economy?,"The top three economic frameworks in most urgent need of a 4IR overhaul include income generation, labour force participation and GDP measures."
110,Fourth Industrial Revolution,Here's where robots are replacing workers fastest,Those who are young and less-educated are being displaced by robots in the Midwest manufacturing industry at alarmingly high rates.
111,Zvika Krieger 17 Jan 2020,Virtual reality 'clinic' brings stroke therapy home,"Stroke survivors could soon attend physical and occupational therapy sessions via a virtual reality clinic, researchers say."
112,Education and Skills,"
              Fourth Industrial Revolution
            ","
              Explore the latest strategic trends, research and analysis
            "
113,Bernadette Wightman 16 Jan 2020,"How to design and control robots with stretchy, flexible bodies","In simulations, the model enabled 2D and 3D soft robots to complete tasks — such as moving certain distances or reaching a target spot —more quickly and accurately than current state-of-t..."
114,Leadership,Bot can beat humans in multiplayer hidden-role games,DeepRole uses a game-planning algorithm called “counterfactual regret minimization” (CFR) — which learns to play a game by repeatedly playing against itself — augmented with deductive rea...
115,Knut Haanaes · Forbes 16 Jan 2020,"Forget passwords, make unicorns pay and other top stories of the week",Also in this week's round-up: recycling isn't circular and how to save Venice.
116,Fourth Industrial Revolution,Japan displays technological abilities with an AI welcome for Pope Francis ,'Protect all Life - The Signs of the Times' is based on the theme of the Pope’s Japan visit and was partly composed using an artificial intelligence-powered programme.
117,Francisco Betti · Forbes 16 Jan 2020,This super-fast 'light switch' could revolutionize self-driving cars and quantum technologies,Researchers at ETH Zurich have developed an “electro-​opto-mechanical” switch for light beams. 
118,Leadership,"Scientists have invented holograms that you can see, hear and even feel",The use of ultrasound waves allows the device to produce audible noise as well as a physical sensation.
119,Wadia Ait Hamza · Forbes 16 Jan 2020,Researchers use laughing gas to generate terahertz laser,"Fashioned into lasers, terahertz waves might enable 'T-ray vision', with the ability to see through clothing, book covers, and other thin materials."
120,Workforce and Employment,Could you answer to a robot boss?,New research from Oracle and Future Workplace shows employees are open to the idea of automated intelligence in the workplace.
121,Kathy Bloomgarden 15 Jan 2020,This wristband tells you what food to buy based on your DNA,A family health emergency led to the invention of a wristband that analyses your DNA to tell you which foods to buy to stay healthy and reduce your risk of diseases like diabetes.
122,Fourth Industrial Revolution,People want self-driving cars to share their personality,Would giving autonomous vehicles their own personality encourage their adoption? 
123,Tarek Sultan Al Essa 15 Jan 2020,This new 3D printing technique puts electronics into plastics ,“Our innovation shows considerable promise for developing an integrated unit—using 3D printing and intense pulses of light for electronics.”
124,Corporate Governance,Flying taxis could transform our cities if we set the right rules,Governments and businesses need to collaborate to make the most of drones and flying vehicles
125,Robin  Pomeroy 15 Jan 2020,"This robot army can run, jump, duck and even backflip","They are small quadrupedal robots that can run, walk, jump, turn, and backflip. The robots weigh about 20 pounds and researchers claim they are ""virtually indestructible""."
126,Fourth Industrial Revolution,The aerodynamics of mosquito wings are inspiring quieter drones,"They have adapted their anatomy and flight physiology to solve the “complex multifactorial problem” of trying to fly and flirt at the same time, Mittal says."
127,Douglas Elliott and Lisa  Quest 14 Jan 2020,How technological innovation can disrupt climate change,Only seven of the 45 energy technologies and sectors are on target to meet commitments enshrined in the 2015 Paris climate agreement.
128,India,"
              Fourth Industrial Revolution
            ","
              Explore the latest strategic trends, research and analysis
            "
129,Natarajan Chandrasekaran and Roopa  Purushothaman 14 Jan 2020,The robots of the future can do much more than work in factories - this is what they'll look like,"Soft and stretchable: it can conduct heat and electricity, actively change its shape, the shape-morphing can be activated electrically, it is also resilient to significant damage and is s..."
130,Taxation,This 'RoboBee' is powered by soft artificial muscles,"As the first microrobot powered by soft actuators to achieve controlled flight, it can crash into walls, fall onto the floor, and collide with other RoboBees without being damaged."
131,Brian Peccarelli 13 Jan 2020,"These are the world's best MBAs, according to The Economist","Top MBAs are dominated by US institutions, with the University of Chicago’s Booth School of Business in first place."
132,5G,We need to reconsider ethical and philosophical issues surrounding our digital identities,Current data protection policy places an emphasis on the rights of the individual. But it does not assess the way in which our free will is increasingly restricted in ever more technologi...
133,Don Rosenberg 10 Jan 2020,How tech can help businesses balance profit and purpose,"The future for business depends on balancing profits with purpose, and 4IR technologies can help companies achieve that. It's time for CEOs to grasp this golden opportunity"
134,Future of Economic Progress,5G networks: to slice or not to slice?,"In many ways, 5G represents more than its definition as the fifth generation of network and mobile communication. When fully utilized, the technology reflects the augmentation of a smart ..."
135,Børge Brende · Foreign Affairs 10 Jan 2020,5 top stories from our #GFC19 meeting,"Nearly 700 experts from around the world descended on Dubai to share bright ideas on how to build a better future, at a time when urgent progress is needed on sustainable development."
136,Artificial Intelligence and Robotics,5 things you may not know about Dubai,"Young and tech-savvy, this wealthy city in the desert is growing at an exponential rate."
137,Rob Matheson and MIT News · MIT News 08 Jan 2020,"From firefighting to field analysis, drones are helping us curb climate change","They can help quantify changes in vegetation composition, whether growth is consistent or if natural disturbances like fire or insect attacks are becoming more prevalent."
138,5G,Here's how drones are being used to stop the spread of tropical diseases,"Images from flyovers can help to identify areas where the 200 million sufferers of schistosomiasis are infected. The disease causes bloody urine and stool and abdominal pain, and can dama..."
139,Åsa Tamsons 08 Jan 2020,Balance feedback takes two-legged robots' precision to a new level,"“Now we can do heavy door opening or lifting or throwing heavy objects, with proper balance communication.” "
140,Fourth Industrial Revolution,Algorithms can now map placentas and ensure healthy pregnancies,"This new technique stretches out MRI scans of placentas so they can be more accurately analyzed, and shows the potential of MRI for pregnancy monitoring."
141,Ann Skeet and Jim Guszcza 07 Jan 2020,Have you heard of optoacoustic imaging? This is how it's saving lives,"Artificial intelligence can improve the quality of optoacoustic imaging, researchers report. This technique is used to visualize blood vessels, study brain activity, characterize skin les..."
142,Innovation,This air taxi uses 5G to ‘see’ around corners,Volocopter is due to launch its electric air taxis commercially in the next two years. The VoloCity has 5G capabilities to allow it to see round corners and even autonomously ask permissi...
143,Heizo Takenaka 06 Jan 2020,The World Economic Forum's #GFC19 meeting explained in 5 questions,"From what is a GFC to what they'll be talking about, here's everything you need to know about our meeting in the Middle East. "
144,Fourth Industrial Revolution,"
              Fourth Industrial Revolution
            ","
              Explore the latest strategic trends, research and analysis
            "
145,Ken Hu 06 Jan 2020,Chameleons’ speedy tongues inspired faster robots,"Researchers have created new soft robots that operate at high speed using stored elastic energy, taking their inspiration from chameleons."
146,Fourth Industrial Revolution,Here's how a circular economy could change the world by 2030,What might the world look like in 2030 if we have made the transition to a fully circular economy? 
147,Peter Dizikes · MIT News 03 Jan 2020,Need to upgrade your wardrobe? This AI can help you,"Fashion++ is a tool ""motivated by a practical idea: that we can work with a given outfit to make small changes so it’s just a bit better"". "
148,Blockchain,‘Molecular spintronics’: new technology offers hope for quantum computing,"Quantum computers, which work according to the strange rules of quantum mechanics, could, one day, revolutionise the world."
149,Sheila Warren 02 Jan 2020,The next flying robot could be inspired by the humble fly – here’s how,"“Within the blink of an eye, these flies can totally invert their body and land, which is quite spectacular,” says Jean-Michel Mongeau - an assistant professor of mechanical engineering."
150,Fourth Industrial Revolution,Here’s why this CEO gave her staff a four-day work week,"From more loyal workers to increased productivity, one extra day off a week has numerous benefits for any workforce."
151,Caroline Brooks · Futurity 02 Jan 2020,This 3D printing breakthrough could boost humanity’s exploration of the solar system,“Demonstrating and validating recycling capabilities on the ISS is an important step towards developing sustainable manufacturing systems that will enable us to venture deeper into the so...
152,Fourth Industrial Revolution,Man with quadriplegia is able to control his prosthetic arms using just his thoughts,"In a study conducted by John Hopkins University’s Applied Physics Laboratory, Buz Chmielewski received two of the world's most advanced prosthetic arms which he is able to control by usin..."
153,Noa Gafni 20 Dec 2019,Happiness apps: how schools are joining the fight for better student mental health,Educationalists in Australia and New Zealand have harnessed the power of modern technology to help kids thrive.
154,ASEAN,We blame robots for work accidents when they're autonomous,"“The finding is somewhat intuitive, but it addresses a fundamental issue: when do we transfer responsibility for an error from a human to a robot?” Gillen says."
155,Praneeth Yendamuri and Zara Ingilizian 20 Dec 2019,Are driverless cars really as revolutionary as we think?,"The challenges around introducing autonomous vehicles have dampened initial enthusiasm, believes David Metz, Honorary Professor of Transport Studies at UCL."
156,Education and Skills,Assembler robots make large structures from little pieces,"Systems of tiny robots may someday build high-performance structures, from airplanes to space settlements."
157,Simon Fuglsang Østergaard and Adam  Graafland Nordlund 20 Dec 2019,Welcome to the age of the platform nation,The metrics that governed the industrial nation state aren't fit for purpose in the fluid era of platform-driven business.
158,Workforce and Employment,This groundbreaking new technique is going to revolutionize how our smartphones are built,Smaller and smaller components mean we need to reconsider how robots are able to handle and manipulate these parts. 
159,N.V. (Tiger) Tyagarajan 18 Dec 2019,This award-winning device is saving the lives of firefighters across the world,"It has sensors that monitor temperature, smoke concentration and humidity in real-time, and can send colour-coded alerts via a Cloud platform to command centres."
160,Private Investors,"
              Fourth Industrial Revolution
            ","
              Explore the latest strategic trends, research and analysis
            "
161,Zachary  Bogue 17 Dec 2019,Wages are flatlining around the world – is automation to blame?,Nurturing the skills of the future is becoming ever more important as technology reshapes our workplaces and redefines how we're paid.
162,Workforce and Employment,Here's how AI is being used to aid patients with chronic illnesses at home,"The robot's functions include daily conversations to give patients tips, medication reminders, and information on their condition all while relaying relevant data to care providers."
163,Matthew Lauer 16 Dec 2019,This is how robots and automation have actually increased the need for highly-skilled workers,"It is possible for workers to flourish from advances in technologies such as artificial intelligence by acquiring new skills that are complementary to machines, rather than remaining in j..."
164,Fourth Industrial Revolution,"Smart cities: world’s best don’t just adopt new technology, they make it work for people","From smart traffic controlling cameras to automatically paid parking, cities across the globe are incorporating technology deeply into urban areas to improve the day to day lives of citiz..."
165,Christopher Pissarides · Project Syndicate 16 Dec 2019,Particles from 3D printers may be bad for your health,3D printers are undoubtedly a technological leap forward. But toxic particles are being emitted and damaging indoor air quality and our respiratory systems.
166,Fourth Industrial Revolution,3 lessons Japan's Rugby World Cup can teach us about leadership,"Japan's Rugby World Cup is underway, and has some important lessons regarding leadership we can all learn from. "
167,Katharina  Buchholz · Statista 13 Dec 2019,These revolutionary technologies are now unused and forgotten,"These products were once seen as cutting-edge. Now, all that’s left is their legacy."
